CODINT_0;FLAG_0;FLAG_1;FLAG_2;FLAG_3;FLAG_4;FLAG_5;FLAG_6;FLAG_7;FLAG_8;FLAG_9;FLAG_10;FLAG_11;FLAG_12;OPTION_0;OPTION_1;OPTION_2;OPTION_3;OPTION_4;OPTION_5;OPTION_6;OPTION_7;OPTION_8;OPTION_9;OPTION_10;OPTION_11;OPTION_12;TYP_0;Texte0;Texte1;Texte2;Texte3;Texte4;Texte5;Texte6;Texte7;Texte8;Texte9;Texte10;Texte11;Texte12;Désignation
GESSPT;G; ; ; ; ; ; ; ; ; ; ; ; ;33690;0;0;0;0;0;0;0;0;0;0;0;0;2;G-Affectation lead;;;;;;;;;;;;;Secteurs lead
GESFIFCV;F;R;G; ; ; ; ; ; ; ; ; ; ;1003513;9767;18624;0;0;0;0;0;0;0;0;0;0;2;F-Position finale;R-Annulation comptable;G-Validation;;;;;;;;;;;Calcul taux FIFO
GESCON;F; ; ; ; ; ; ; ; ; ; ; ; ;9784;0;0;0;0;0;0;0;0;0;0;0;0;2;F-Facture;;;;;;;;;;;;;Contrats de service
MODECHE;E;B;T; ; ; ; ; ; ; ; ; ; ;8225;8226;8227;0;0;0;0;0;0;0;0;0;0;1;E-Modification échéances;B-Modification relance;T-Modification tiers;;;;;;;;;;;Gestion des échéances
MODECHE2;E;B;T; ; ; ; ; ; ; ; ; ; ;8225;8226;8227;0;0;0;0;0;0;0;0;0;0;1;E-Modification échéances;B-Modification relance;T-Modification tiers;;;;;;;;;;;Saisie des échéances
GESSIS;D; ; ; ; ; ; ; ; ; ; ; ; ;12225;0;0;0;0;0;0;0;0;0;0;0;0;2;D-Suppression;;;;;;;;;;;;;Transferts inter-sites
SYRCONSSDI;C;M; ; ; ; ; ; ; ; ; ; ; ;192;192;0;0;0;0;0;0;0;0;0;0;0;1;C-Consultation;M-Consultation;;;;;;;;;;;;#N/A
BPRICRE;C;S;U; ; ; ; ; ; ; ; ; ; ;3662;3680;14174;0;0;0;0;0;0;0;0;0;0;1;C-Client;S-Fournisseur;U-Accès par utilisateur;;;;;;;;;;;Création facture périodique
FASTRFM;A;G; ; ; ; ; ; ; ; ; ; ; ;35490;35491;0;0;0;0;0;0;0;0;0;0;0;1;A-Transfert analytique;G-Transfert géographique;;;;;;;;;;;;Trf massif ana / géo
GESFAS;A;G;R;T;U;V;W;Z;O;P; ; ; ;35490;35491;35435;34629;35495;7972;15938;23308;41862;37318;0;0;0;2;A-Transfert analytique;G-Transfert géographique;R-Modif. imputation comptable;T-Changement de méthode;U-Actualisation;V-Réévaluation;W-Eclatement;Z-Sortie;O-Modif information bien concess;P-Changer la règle de TVA;;;;Biens comptables
GESAFT;A; ; ; ; ; ; ; ; ; ; ; ; ;18599;0;0;0;0;0;0;0;0;0;0;0;0;2;A-Modification codes accès;;;;;;;;;;;;;Profil fonction
GESAUS;A;P; ; ; ; ; ; ; ; ; ; ; ;18599;21873;0;0;0;0;0;0;0;0;0;0;0;2;A-Modification codes accès;P-Modification du mot de passe;;;;;;;;;;;;Utilisateurs
GESPAY;A;V;T;L;O; ; ; ; ; ; ; ; ;9767;18624;10735;15349;43824;0;0;0;0;0;0;0;0;2;A-Annulation comptable;V-Validation;T-Transactions;L-Lot de saisie;O-Annulation chèque;;;;;;;;;Règlements
GESMFG;A;J; ; ; ; ; ; ; ; ; ; ; ;3862;2378;0;0;0;0;0;0;0;0;0;0;0;2;A-Allocations manuelles;J-Jalonnement;;;;;;;;;;;;Gestion ordres de fabrication
GESSCO;A;O; ; ; ; ; ; ; ; ; ; ; ;3862;17077;0;0;0;0;0;0;0;0;0;0;0;2;A-Allocations manuelles;O-Commander;;;;;;;;;;;;Ordres de sous-traitance
FUNDBENCH;A;M;J;P; ; ; ; ; ; ; ; ; ;3164;3862;2378;18114;0;0;0;0;0;0;0;0;0;1;A-Allocations;M-Allocations manuelles;J-Jalonnement;P-Planification multi-niveaux;;;;;;;;;;Plan de travail
FUNMLINK;A;M;J; ; ; ; ; ; ; ; ; ; ;3164;3862;2378;0;0;0;0;0;0;0;0;0;0;1;A-Allocations;M-Allocations manuelles;J-Jalonnement;;;;;;;;;;;Plan d'affectation
FUNDBENCHA;A;M;J;P; ; ; ; ; ; ; ; ; ;7974;3862;2378;18114;0;0;0;0;0;0;0;0;0;1;A-Allocation;M-Allocations manuelles;J-Jalonnement;P-Planification multi-niveaux;;;;;;;;;;Plan de travail
FUNGBENCH;A;M;J; ; ; ; ; ; ; ; ; ; ;7974;3862;2378;0;0;0;0;0;0;0;0;0;0;1;A-Allocation;M-Allocations manuelles;J-Jalonnement;;;;;;;;;;;Planning global
FUNGBENCHA;A;M;J; ; ; ; ; ; ; ; ; ; ;7974;3862;2378;0;0;0;0;0;0;0;0;0;0;1;A-Allocation;M-Allocations manuelles;J-Jalonnement;;;;;;;;;;;Planning global
GESSOQ;A; ; ; ; ; ; ; ; ; ; ; ; ;7974;0;0;0;0;0;0;0;0;0;0;0;0;2;A-Allocation;;;;;;;;;;;;;Gestion demandes de livraisons
SYRWRKPLN;A; ; ; ; ; ; ; ; ; ; ; ; ;72;0;0;0;0;0;0;0;0;0;0;0;0;1;A-Accès;;;;;;;;;;;;;#N/A
GESLOF;4; ; ; ; ; ; ; ; ; ; ; ; ;15938;0;0;0;0;0;0;0;0;0;0;0;0;2;4-Eclatement;;;;;;;;;;;;;Dépenses
GESCYM;2;3; ; ; ; ; ; ; ; ; ; ; ;12408;29430;0;0;0;0;0;0;0;0;0;0;0;2;2-Duplication;3-Génération auto;;;;;;;;;;;;Pyramides analytiques sections
GESGYM;2;3; ; ; ; ; ; ; ; ; ; ; ;12408;29430;0;0;0;0;0;0;0;0;0;0;0;2;2-Duplication;3-Génération auto;;;;;;;;;;;;Pyramides de comptes
GESEXS;1; ; ; ; ; ; ; ; ; ; ; ; ;6481;0;0;0;0;0;0;0;0;0;0;0;0;2;1-Tous utilisateurs;;;;;;;;;;;;;Relevés de frais
GESCRY;1;2;3; ; ; ; ; ; ; ; ; ; ;29429;12408;29430;0;0;0;0;0;0;0;0;0;0;2;1-Changement pyramide;2-Duplication;3-Génération auto;;;;;;;;;;;Groupes de sections
GESGRY;1;2;3; ; ; ; ; ; ; ; ; ; ;29429;12408;29430;0;0;0;0;0;0;0;0;0;0;2;1-Changement pyramide;2-Duplication;3-Génération auto;;;;;;;;;;;Groupes de comptes
GESGAC;1; ; ; ; ; ; ; ; ; ; ; ; ;29432;0;0;0;0;0;0;0;0;0;0;0;0;2;1-Changement de plan;;;;;;;;;;;;;Comptes généraux
GESCCE;1; ; ; ; ; ; ; ; ; ; ; ; ;29428;0;0;0;0;0;0;0;0;0;0;0;0;2;1-Changement d'axe;;;;;;;;;;;;;Sections
ABATPAR; ; ; ; ; ; ; ; ; ; ; ; ; ;0;0;0;0;0;0;0;0;0;0;0;0;0;1;;;;;;;;;;;;;;Paramètres serveur batch
ABT; ; ; ; ; ; ; ; ; ; ; ; ; ;0;0;0;0;0;0;0;0;0;0;0;0;0;0;;;;;;;;;;;;;;#N/A
ACHANGE; ; ; ; ; ; ; ; ; ; ; ; ; ;0;0;0;0;0;0;0;0;0;0;0;0;0;1;;;;;;;;;;;;;;Changement de clé en masse
ACHGCOL; ; ; ; ; ; ; ; ; ; ; ; ; ;0;0;0;0;0;0;0;0;0;0;0;0;0;1;;;;;;;;;;;;;;#N/A
ACOMPOBJ; ; ; ; ; ; ; ; ; ; ; ; ; ;0;0;0;0;0;0;0;0;0;0;0;0;0;1;;;;;;;;;;;;;;Différence d'objets
ACOPADO; ; ; ; ; ; ; ; ; ; ; ; ; ;0;0;0;0;0;0;0;0;0;0;0;0;0;1;;;;;;;;;;;;;;Copie valeurs paramètres
ACOPAPH; ; ; ; ; ; ; ; ; ; ; ; ; ;0;0;0;0;0;0;0;0;0;0;0;0;0;1;;;;;;;;;;;;;;Copie paramétrage
ACOPDIC; ; ; ; ; ; ; ; ; ; ; ; ; ;0;0;0;0;0;0;0;0;0;0;0;0;0;1;;;;;;;;;;;;;;Copie dictionnaire
ACOPELT; ; ; ; ; ; ; ; ; ; ; ; ; ;0;0;0;0;0;0;0;0;0;0;0;0;0;1;;;;;;;;;;;;;;Copie élément client
ACOPFIC; ; ; ; ; ; ; ; ; ; ; ; ; ;0;0;0;0;0;0;0;0;0;0;0;0;0;1;;;;;;;;;;;;;;Copie fichiers
