CODINT_0;flags;Désignation;options_exist
CONSPIA;{};Traçabilité pièces achats;
CONSPIC;{};Traçabilité pièces CRM;
CONSPIF;{};Traçabilité immobilisations;
CONSPIH;{};Traçabilité pièces support clt;
CONSPIT;{};Traçabilité pièces tiers;
CONSPITV;{};Valorisation stock par période;
CONSPIV;{};Traçabilité pièces ventes;
CONSPRH;{};Bons de préparation;
CONSPRH2;{};Bons de préparation;
CONSSAD;{};Allocations détaillées;
CONSSAG;{};Allocations globales;
CONSSAR;{};Stocks par article;
CONSSAT;{};Mouvements en attente;
CONSSBI;{};Articles en inventaire;
CONSSBII;{};Articles en inventaire;
CONSSBP;{};Stock prêté;
CONSSCBCB;{};Résultats CBN;
CONSSCBCB1;{};Interrogation CBN GPAO;
CONSSCBPD;{};Résultats PDP;
CONSSCBPD1;{};Interro calculs PDP;
CONSSCI;{};Calcul comptages;
CONSSCM;{};Consommation sous-traitance;
CONSSDA;{};Stock à date;
CONSSDE;{};Stocks détaillés;
CONSSDI;{};Stock disponible;
CONSSDI1;{};Stock disponible vente;
CONSSDO;{};Stocks inactifs;
CONSSEA;{};Emplacements;
CONSSEC;{};Sections;
CONSSED;{};Emplacements dédiés;
CONSSET;{};Transaction carte crédit;
CONSSFC;{};Stock par site;
CONSSH3;{};Hist. fiche 130;
CONSSHIPD;{};Lignes d'expéditions;
CONSSHO;{};OF en rupture;
CONSSHQ;{};Hist. fiche technique;
CONSSHS;{};Historique stocks;
CONSSHTA;{};Allocations en rupture;
CONSSHTG;{};Allocations en rupture;
CONSSHTS;{};Allocations en rupture;
CONSSII;{};Articles à inventorier;
CONSSIM;{};Consultation de simulation;
CONSSLO;{};Stocks par lots;
CONSSMA;{};Evolution du PMP par mouvement;
CONSSMF;{};Mouvement prix FIFO;
CONSSMJ;{};Mouvements par date;
CONSSML;{};Mouvement prix moyen lot;
CONSSMQ;{};Stocks manquants;
CONSSMV;{};Mouvements par article;
CONSSOE;{};Occupation emplacements;
CONSSPE;{};Stock périmé;
CONSSPR;{};Stock projeté;
CONSSPR1;{};Stock projeté;
CONSSRF;{};Réponses contrôle qualité;
CONSSSC;{};Consultation sous-traitance;
CONSSSE;{};Numéros de série;
CONSSST;{};Sous-traitance;
CONSSTK;{};Traçabilité;
CONSSXT;{};Stocks externes;
CONSTRN;{};Consultation de transports;
CONSVCI;{};Incohérence code TVA;
COPRPT;{};Copie états;
COPTRT;{};Copie traitements;
COPYCOUT;{};Transfert de coûts;
COPYGAMME;{};Copie gammes;
COPYNOMEN;{};Copie nomenclatures;
COURDEV;{};Cours des devises;
CPTDUM;{};Validation code déversement;
CPTQUIT;{};Comptabilisation quittances;
CPTSVC;{};CCA/PCA d'arrêtés;
CREHISTO;{};Création dossier historisé;
CREITFMA;{};Création article-site;
CRELPNMA;{};Création numéros contenants;
DCLESD;{};Déclaration Européenne de Services;
DCLVATOTH;{};Déclaration préparatoire TVA;
DELETTRAGE;{};Délettrage;
DELQUIT;{};Annulation quittances;
DEPOINTAGE;{};Dépointage;
DEVERROU;{};Déverrouillage dossier;
DIVAVO;{'C': 'Création', 'M': 'Modification', 'S': 'Suppression'};Motifs avoirs;CMS
DIVCCL;{};Motifs solde;
DIVRET;{'C': 'Création', 'M': 'Modification', 'S': 'Suppression'};Motifs retours;CMS
DIVTSC;{'C': 'Création', 'M': 'Modification', 'S': 'Suppression'};Fam. stat. clients;CMS
