CODINT_0;flags;Désignation
GESAUR;{'C': 'Création', 'M': 'Modification', 'S': 'Suppression'};Composants écran
GESAUTI;{'C': 'Création', 'M': 'Modification', 'S': 'Suppression'};Utilitaires
GESAVR;{'C': 'Création', 'M': 'Modification', 'S': 'Suppression'};Contexte assistant de formules
GESAVW;{'C': 'Création', 'M': 'Modification', 'S': 'Suppression'};Dictionnaire des vues
GESAWA;{'C': 'Création', 'M': 'Modification', 'S': 'Suppression'};Règles Workflow
GESAWE;{'C': 'Création', 'M': 'Modification', 'S': 'Suppression'};Services web
GESAWI;{'C': 'Création', 'M': 'Modification', 'S': 'Suppression'};Gestion des fenêtres
GESAWM;{'C': 'Création', 'M': 'Modification', 'S': 'Suppression'};Modèles de données
GESAWR;{'C': 'Création', 'M': 'Modification', 'S': 'Suppression'};Règles d'affectation
GESAWV;{'C': 'Création', 'M': 'Modification', 'S': 'Suppression'};Affectation utilisateur
GESAWW;{'C': 'Création', 'M': 'Modification', 'S': 'Suppression'};Paramétrage plan de travail
GESAWX;{'C': 'Création', 'M': 'Modification', 'S': 'Suppression'};Notifications
GESAYA;{'C': 'Création', 'M': 'Modification', 'S': 'Suppression'};Action Web
GESAYB;{'C': 'Création', 'M': 'Modification', 'S': 'Suppression'};Blocs
GESAYC;{'C': 'Création', 'M': 'Modification', 'S': 'Suppression'};Liste de valeurs
GESAYD;{'C': 'Création', 'M': 'Modification', 'S': 'Suppression'};Profils site Web
GESAYE;{'C': 'Création', 'M': 'Modification', 'S': 'Suppression'};Entité
GESAYF;{'C': 'Création', 'M': 'Modification', 'S': 'Suppression'};Champs
GESAYG;{'C': 'Création', 'M': 'Modification', 'S': 'Suppression'};Pages Web
GESAYH;{'C': 'Création', 'M': 'Modification', 'S': 'Suppression'};Profil Safe X3 WAS
GESAYI;{'C': 'Création', 'M': 'Modification', 'S': 'Suppression'};Interface
GESAYL;{'C': 'Création', 'M': 'Modification', 'S': 'Suppression'};Liens dynamiques
GESAYM;{'C': 'Création', 'M': 'Modification', 'S': 'Suppression'};Message Web
GESAYP;{'C': 'Création', 'M': 'Modification', 'S': 'Suppression'};Styles personnalisés
GESAYS;{'C': 'Création', 'M': 'Modification', 'S': 'Suppression'};Sites Web
GESAYT;{'C': 'Création', 'M': 'Modification', 'S': 'Suppression'};Test site Web
GESAYU;{'C': 'Création', 'M': 'Modification', 'S': 'Suppression'};Paramétrage avancé
GESAYW;{'C': 'Création', 'M': 'Modification', 'S': 'Suppression'};Blocs conditionnés
GESAYY;{'C': 'Création', 'M': 'Modification', 'S': 'Suppression'};Document Html
GESAYZ;{'C': 'Création', 'M': 'Modification', 'S': 'Suppression'};Formulaire
GESB9B;{'C': 'Création', 'M': 'Modification', 'S': 'Suppression'};Balance d'ouverture 1099
GESB9M;{'C': 'Création', 'M': 'Modification', 'S': 'Suppression'};Case fournisseur 1099
GESBAN;{'C': 'Création', 'M': 'Modification', 'S': 'Suppression'};Comptes en banque
GESBAP;{'C': 'Création', 'M': 'Modification', 'S': 'Suppression'};Rendez-vous
GESBCG;{'C': 'Création', 'M': 'Modification', 'S': 'Suppression'};Catégorie client
GESBDO;{'C': 'Création', 'M': 'Modification', 'S': 'Suppression'};OD budgétaires
GESBDT;{'C': 'Création', 'M': 'Modification', 'S': 'Suppression'};Conditions créances douteuses
GESBGR;{'C': 'Création', 'M': 'Modification', 'S': 'Suppression'};Groupe bancaire
GESBODC;{'C': 'Création', 'M': 'Modification', 'S': 'Suppression'};Nomenclatures commerciales
GESBODP;{'C': 'Création', 'M': 'Modification', 'S': 'Suppression'};Nomenclatures production
GESBODS;{'C': 'Création', 'M': 'Modification', 'S': 'Suppression'};Nomenclatures sous-traitance
GESBOLP;{'C': 'Création', 'M': 'Modification', 'S': 'Suppression'};Bon de transport
GESBOLS;{'C': 'Création', 'M': 'Modification', 'S': 'Suppression'};Bon de transport
GESBPP;{'C': 'Création', 'M': 'Modification', 'S': 'Suppression'};Prospects
GESBPT;{'C': 'Création', 'M': 'Modification', 'S': 'Suppression'};Transporteurs
GESBRD;{'C': 'Création', 'M': 'Modification', 'S': 'Suppression'};Eclatement - Clés ventilation
GESBSG;{'C': 'Création', 'M': 'Modification', 'S': 'Suppression'};Catégorie fournisseur
GESBTC;{'C': 'Création', 'M': 'Modification', 'S': 'Suppression'};Tâches comptables
GESBUC;{'C': 'Création', 'M': 'Modification', 'S': 'Suppression'};Calcul budgets
GESBUP;{'C': 'Création', 'M': 'Modification', 'S': 'Suppression'};Paramétrage budgets
GESBUV;{'C': 'Création', 'M': 'Modification', 'S': 'Suppression'};Versions de budgets
GESBX9;{'C': 'Création', 'M': 'Modification', 'S': 'Suppression'};Case 1099
GESCAC;{'C': 'Création', 'M': 'Modification', 'S': 'Suppression'};Codes comptables
GESCAI;{'C': 'Création', 'M': 'Modification', 'S': 'Suppression'};Caisses
GESCBA;{'C': 'Création', 'M': 'Modification', 'S': 'Suppression'};Agenda action commerciale
GESCCC;{'C': 'Création', 'M': 'Modification', 'S': 'Suppression'};Articles concurrents
GESCCL;{'C': 'Création', 'M': 'Modification', 'S': 'Suppression'};Lignes des codes comptables
GESCDA;{'C': 'Création', 'M': 'Modification', 'S': 'Suppression'};Destinations comptables
GESCDE;{'C': 'Création', 'M': 'Modification', 'S': 'Suppression'};Section par défaut
GESCDI;{'C': 'Création', 'M': 'Modification', 'S': 'Suppression'};Axes par défaut
GESCFO;{'C': 'Création', 'M': 'Modification', 'S': 'Suppression'};Gestion prévisions de tréso.
GESCFT;{'C': 'Création', 'M': 'Modification', 'S': 'Suppression'};Types prévisions de trésorerie
GESCHB;{'C': 'Création', 'M': 'Modification', 'S': 'Suppression'};Chéquiers
GESCIB;{'C': 'Création', 'M': 'Modification', 'S': 'Suppression'};Ajustement manuel des sorties
GESCIG;{'C': 'Création', 'M': 'Modification', 'S': 'Suppression'};Définition de l'opération
GESCII;{'C': 'Création', 'M': 'Modification', 'S': 'Suppression'};Validation de la cession
GESCIS;{'C': 'Création', 'M': 'Modification', 'S': 'Suppression'};Sélection biens CIG
GESCIT;{'C': 'Création', 'M': 'Modification', 'S': 'Suppression'};Pré-enregistrement des sorties
GESCLC;{'C': 'Création', 'M': 'Modification', 'S': 'Suppression'};Ecritures calculées
GESCLL;{'C': 'Création', 'M': 'Modification', 'S': 'Suppression'};Appel
GESCLS;{'C': 'Création', 'M': 'Modification', 'S': 'Suppression'};Classes de comptes
GESCMA;{'C': 'Création', 'M': 'Modification', 'S': 'Suppression'};Transaction parc client
GESCMD;{'C': 'Création', 'M': 'Modification', 'S': 'Suppression'};Transac. agenda support client
GESCMG;{'C': 'Création', 'M': 'Modification', 'S': 'Suppression'};Campagnes marketing
GESCMI;{'C': 'Création', 'M': 'Modification', 'S': 'Suppression'};Transaction intervention
GESCMM;{'C': 'Création', 'M': 'Modification', 'S': 'Suppression'};Engagements
GESCMS;{'C': 'Création', 'M': 'Modification', 'S': 'Suppression'};Transaction demande de service
GESCNX;{'C': 'Création', 'M': 'Modification', 'S': 'Suppression'};Contextes d'amortissements
GESCOA;{'C': 'Création', 'M': 'Modification', 'S': 'Suppression'};Plan comptable
GESCOE;{'C': 'Création', 'M': 'Modification', 'S': 'Suppression'};Coeff. et indices réévaluation
GESCOR;{'C': 'Création', 'M': 'Modification', 'S': 'Suppression'};Correspondants
GESCOT;{'C': 'Création', 'M': 'Modification', 'S': 'Suppression'};Modèles de contrat de service
GESCPY;{'C': 'Création', 'M': 'Modification', 'S': 'Suppression'};Sociétés
GESCSF;{'C': 'Création', 'M': 'Modification', 'S': 'Suppression'};Extraction compte contrepartie
GESCSRH;{'C': 'Création', 'M': 'Modification', 'S': 'Suppression'};Analyse flux trésorerie
GESCSTAXUID;{'C': 'Création', 'M': 'Modification', 'S': 'Suppression'};Définitions lignes états
GESCSVATMAP;{'C': 'Création', 'M': 'Modification', 'S': 'Suppression'};Mapping soumission en ligne
GESCTRH;{'C': 'Création', 'M': 'Modification', 'S': 'Suppression'};Conteneur fret
GESDAD;{'C': 'Création', 'M': 'Modification', 'S': 'Suppression'};Répartitions a posteriori
GESDEB;{'C': 'Création', 'M': 'Modification', 'S': 'Suppression'};Gestion fichier DEB
GESDIE;{'C': 'Création', 'M': 'Modification', 'S': 'Suppression'};Axes
GESDIH;{'C': 'Création', 'M': 'Modification', 'S': 'Suppression'};Schémas horaires
GESDIHCRM;{'C': 'Création', 'M': 'Modification', 'S': 'Suppression'};Schémas horaires
GESDMWBPREX;{'C': 'Création', 'M': 'Modification', 'S': 'Suppression'};Exceptions gestion des déchets
GESDMWPAORD;{'C': 'Création', 'M': 'Modification', 'S': 'Suppression'};Classification Ordonnance emballage
